date,no1,no2,no3,no4,no5
2014-01-01 00:00:00,0.680394,0.763110,-0.975745,0.061364,1.828392
2014-01-01 01:00:00,1.721568,-0.960578,0.494779,0.115878,-0.315860
2014-01-01 02:00:00,0.074099,-0.044052,-1.020067,0.805298,1.451646
2014-01-01 03:00:00,-1.073034,1.564779,-1.431629,1.280387,1.018670
2014-01-01 04:00:00,-1.124309,-0.845848,0.273355,2.116732,0.009271
2014-01-01 05:00:00,0.372939,-0.430258,-1.457765,0.982725,0.679643
2014-01-01 06:00:00,1.970605,1.038815,-0.772224,0.374742,0.866217
2014-01-01 07:00:00,-0.456023,0.887911,0.863488,-1.293932,0.182467
2014-01-01 08:00:00,0.015346,0.968603,0.437837,1.170954,-1.797408
2014-01-01 09:00:00,-1.349184,-0.656940,0.935911,1.343317,-0.757956
2014-01-01 10:00:00,1.162248,0.197185,-0.079499,-0.485472,-0.154453
2014-01-01 11:00:00,-0.456344,1.009123,0.153233,-0.119376,-0.883523
2014-01-01 12:00:00,0.273752,0.135076,0.086552,-1.290980,1.499002
2014-01-01 13:00:00,0.238333,0.761359,-0.357629,-0.312931,-0.021275
2014-01-01 14:00:00,-1.283196,-1.818897,-0.741605,0.167535,0.864212
2014-01-01 15:00:00,-0.318899,-1.305520,0.747657,1.289768,0.768934
2014-01-01 16:00:00,-2.419516,-0.269228,0.055976,-0.144371,0.045158
2014-01-01 17:00:00,1.992757,-0.067089,0.920323,-1.166435,-0.590173
2014-01-01 18:00:00,-0.176649,1.490316,-0.790625,-1.246471,2.872108
2014-01-01 19:00:00,0.332577,1.235475,0.251780,-0.235384,-1.188616
2014-01-01 20:00:00,-0.922392,0.390938,0.875987,-0.750929,1.068726
2014-01-01 21:00:00,1.656194,0.626795,0.983168,2.466748,-1.612021
2014-01-01 22:00:00,0.343646,0.252829,-0.762027,2.296803,1.070246
2014-01-01 23:00:00,-0.100010,-0.449926,1.623948,-0.180973,-0.166022
2014-01-02 00:00:00,-0.968890,-0.883504,-1.389660,-0.398739,1.051457
2014-01-02 01:00:00,1.579466,0.527723,0.068787,1.566429,-1.626540
2014-01-02 02:00:00,-0.198750,1.636469,0.798812,-0.286917,-1.831390
2014-01-02 03:00:00,-1.976566,1.284842,0.499438,1.731647,1.313981
2014-01-02 04:00:00,1.870031,1.686323,2.145732,1.864643,-0.485862
2014-01-02 05:00:00,0.073003,-1.217943,1.057517,-0.911097,0.446330
2014-01-02 06:00:00,0.240597,-0.442343,0.961712,-0.470137,0.640827
2014-01-02 07:00:00,0.918839,1.028373,0.774472,-0.276706,-0.594642
2014-01-02 08:00:00,-1.825365,1.250207,2.079941,-0.303580,0.568268
2014-01-02 09:00:00,-0.767210,0.411771,0.412227,-0.057240,-0.857382
2014-01-02 10:00:00,0.599595,0.639404,-0.888204,0.814274,1.954489
2014-01-02 11:00:00,0.199179,0.178271,-0.187814,-0.769243,-1.511579
2014-01-02 12:00:00,-0.300010,0.893446,0.160752,0.621022,-0.365837
2014-01-02 13:00:00,0.515342,0.792632,-0.369909,-1.058176,0.055012
2014-01-02 14:00:00,0.301971,-0.828143,1.631006,0.367177,0.903756
2014-01-02 15:00:00,0.101902,-0.191172,0.341128,-0.335246,-2.368514
2014-01-02 16:00:00,-0.041680,0.780142,-0.230187,-0.274097,1.317512
2014-01-02 17:00:00,-0.263280,-1.061716,0.466359,-1.650309,0.680368
2014-01-02 18:00:00,-0.504646,0.295412,-0.955943,-0.483544,-2.295958
2014-01-02 19:00:00,-0.298514,0.537602,0.427246,0.000690,-0.292540
2014-01-02 20:00:00,-0.579594,-0.060732,-0.539553,-0.549454,-0.330038
2014-01-02 21:00:00,1.121063,0.552221,0.407047,-0.916296,0.336163
2014-01-02 22:00:00,1.094456,1.911662,0.742612,-0.029460,-1.013806
2014-01-02 23:00:00,-0.635487,-1.215274,1.216650,-0.172378,-0.530667
2014-01-03 00:00:00,-1.742624,0.028581,-0.769830,-1.235404,-0.268348
2014-01-03 01:00:00,-0.957032,-0.770024,0.610886,-0.845061,1.017889
2014-01-03 02:00:00,0.929378,-0.643270,-0.249462,-0.838394,1.512988
2014-01-03 03:00:00,0.097769,-0.974545,-0.177593,0.088872,-0.434886
2014-01-03 04:00:00,0.368337,-0.084348,1.686397,-2.654029,0.174931
2014-01-03 05:00:00,-0.508491,0.293739,0.626814,-0.531262,-1.713973
2014-01-03 06:00:00,0.343032,-1.234137,0.806258,0.358903,1.029584
2014-01-03 07:00:00,0.064642,0.169235,-0.560269,1.051136,1.365839
2014-01-03 08:00:00,-1.295099,-0.289712,-0.719532,1.039001,-1.326993
2014-01-03 09:00:00,2.612497,-0.510565,1.791923,0.594705,-2.205825
2014-01-03 10:00:00,-1.056677,-0.039599,-0.112620,0.348235,1.063815
2014-01-03 11:00:00,-0.292233,-1.209304,0.547791,1.455791,-0.686880
2014-01-03 12:00:00,1.024003,-1.637474,-1.112296,-0.647088,-1.796053
2014-01-03 13:00:00,-1.769356,0.746640,0.440665,0.395449,0.226648
2014-01-03 14:00:00,2.260823,0.088727,0.845692,0.823052,0.588938
2014-01-03 15:00:00,0.950312,-0.455520,-0.667420,0.085281,0.677645
2014-01-03 16:00:00,-0.214854,-1.060788,-0.331083,0.190597,0.138518
2014-01-03 17:00:00,0.766818,0.847662,1.178396,-0.133546,-1.468628
2014-01-03 18:00:00,-0.301607,-0.079184,0.082888,1.269220,-1.634044
2014-01-03 19:00:00,0.719786,0.230443,-0.722068,1.452089,0.592387
2014-01-03 20:00:00,0.352253,-1.778046,0.153994,-0.492485,-0.089363
2014-01-03 21:00:00,-2.078047,0.375585,-1.060017,-0.325135,-0.575628
2014-01-03 22:00:00,-1.258913,2.244732,0.521958,0.038930,-0.253369
2014-01-03 23:00:00,0.683931,-0.227709,-1.374275,0.490567,-0.980402
2014-01-04 00:00:00,-0.560622,1.196544,0.035862,1.696146,0.179739
2014-01-04 01:00:00,1.842412,1.253497,-0.471239,0.848872,0.355809
2014-01-04 02:00:00,1.044020,-1.113447,2.488420,-1.362970,-1.228230
2014-01-04 03:00:00,-0.446174,-0.253244,1.253668,-0.860513,1.504762
2014-01-04 04:00:00,0.061192,0.398878,-0.827928,-0.722826,2.113256
2014-01-04 05:00:00,-2.259318,0.832372,-0.256743,0.238227,0.750936
2014-01-04 06:00:00,0.840589,-0.195040,-0.976331,0.849254,-1.053474
2014-01-04 07:00:00,0.505609,1.141866,1.871620,0.954977,-0.240816
2014-01-04 08:00:00,0.711591,1.024579,-0.929751,-0.065748,-1.095707
2014-01-04 09:00:00,-1.161660,-0.585240,0.082217,-0.179854,-1.049691
2014-01-04 10:00:00,0.853449,0.199787,-0.628539,-1.408771,1.001014
2014-01-04 11:00:00,0.562008,-1.159354,0.206897,0.578298,0.932885
2014-01-04 12:00:00,0.637833,-0.661299,1.606459,-1.514037,-0.667572
2014-01-04 13:00:00,-0.367151,0.523413,1.448851,-1.036754,-0.503242
2014-01-04 14:00:00,0.533719,-1.514552,0.330730,-0.256269,2.382481
2014-01-04 15:00:00,1.568168,-0.178451,-0.172441,0.260392,0.217770
2014-01-04 16:00:00,0.114974,-0.093536,-0.419051,-0.696738,-0.844650
2014-01-04 17:00:00,-0.574153,0.893970,2.943710,2.049803,-0.016338
2014-01-04 18:00:00,-1.243249,0.703052,0.237910,-0.179965,-1.622065
2014-01-04 19:00:00,-1.122234,1.155537,0.356100,-0.183581,-0.751752
2014-01-04 20:00:00,0.241100,-0.170910,0.961943,0.330733,1.201445
2014-01-04 21:00:00,0.113854,0.845113,1.247255,-0.403952,0.777770
2014-01-04 22:00:00,0.943494,-0.641980,-0.250339,-0.192101,0.802206
