종목,현재가,대비,시가,고가,저가,거래량,미결제,등락
코스피200 P 202006 160.0,"0.01",0.00,"0.01","0.01","0.01","32","65,351",3
코스피200 P 202006 162.5,"0.01",0.00,"0.01","0.01","0.01","4,495","9,240",3
코스피200 P 202006 165.0,"0.01",0.01,"0.01","0.01","0.01","179","14,349",5
코스피200 P 202006 167.5,"0.01",0.01,"0.01","0.01","0.01","11","9,824",5
코스피200 P 202006 170.0,"0.02",0.00,"0.02","0.02","0.01","38","7,059",3
코스피200 P 202006 172.5,"0.02",0.00,"0.02","0.02","0.01","71","2,851",3
코스피200 P 202006 175.0,"0.02",0.01,"0.02","0.02","0.01","1,338","5,193",2
코스피200 P 202006 177.5,"0.02",0.01,"0.02","0.02","0.02","78","3,939",2
코스피200 P 202006 180.0,"0.03",0.01,"0.03","0.03","0.02","464","7,796",2
코스피200 P 202006 182.5,"0.03",0.01,"0.03","0.03","0.03","432","4,466",2
코스피200 P 202006 185.0,"0.04",0.01,"0.04","0.04","0.03","392","3,498",2
코스피200 P 202006 187.5,"0.04",0.01,"0.04","0.04","0.04","788","3,265",2
코스피200 P 202006 190.0,"0.05",0.01,"0.05","0.05","0.04","1,599","19,699",2
코스피200 P 202006 192.5,"0.06",0.00,"0.06","0.06","0.05","1,191","8,184",3
코스피200 P 202006 195.0,"0.06",0.01,"0.07","0.07","0.05","1,044","8,588",2
코스피200 P 202006 197.5,"0.07",0.01,"0.08","0.08","0.06","1,696","6,515",2
코스피200 P 202006 200.0,"0.08",0.02,"0.09","0.09","0.07","2,821","22,804",2
코스피200 P 202006 202.5,"0.09",0.02,"0.11","0.11","0.08","2,550","7,699",2
코스피200 P 202006 205.0,"0.11",0.01,"0.10","0.11","0.09","3,639","15,781",2
코스피200 P 202006 207.5,"0.11",0.03,"0.13","0.13","0.10","2,244","6,855",2
코스피200 P 202006 210.0,"0.13",0.03,"0.15","0.15","0.12","4,702","13,782",2
코스피200 P 202006 212.5,"0.15",0.04,"0.16","0.16","0.13","2,986","7,029",2
코스피200 P 202006 215.0,"0.17",0.05,"0.17","0.18","0.15","4,419","6,964",2
코스피200 P 202006 217.5,"0.19",0.06,"0.22","0.22","0.17","4,348","4,620",2
코스피200 P 202006 220.0,"0.22",0.07,"0.26","0.26","0.19","8,396","23,844",2
코스피200 P 202006 222.5,"0.26",0.07,"0.29","0.29","0.23","7,435","8,209",2
코스피200 P 202006 225.0,"0.30",0.08,"0.35","0.35","0.26","6,663","10,635",2
코스피200 P 202006 227.5,"0.36",0.09,"0.40","0.40","0.31","7,425","8,741",2
코스피200 P 202006 230.0,"0.42",0.11,"0.47","0.47","0.36","16,220","27,992",2
코스피200 P 202006 232.5,"0.50",0.13,"0.55","0.55","0.43","11,361","9,012",2
코스피200 P 202006 235.0,"0.60",0.15,"0.65","0.65","0.51","13,749","13,820",2
코스피200 P 202006 237.5,"0.71",0.19,"0.76","0.78","0.61","13,575","8,188",2
코스피200 P 202006 240.0,"0.86",0.20,"0.91","0.94","0.74","26,308","35,273",2
코스피200 P 202006 242.5,"1.03",0.28,"1.12","1.14","0.90","19,421","13,389",2
코스피200 P 202006 245.0,"1.25",0.32,"1.31","1.38","1.09","29,776","14,556",2
코스피200 P 202006 247.5,"1.51",0.37,"1.56","1.67","1.32","24,145","6,525",2
코스피200 P 202006 250.0,"1.84",0.42,"1.91","2.03","1.62","34,673","15,986",2
코스피200 P 202006 252.5,"2.24",0.48,"2.30","2.45","1.98","25,783","6,847",2
코스피200 P 202006 255.0,"2.73",0.57,"2.79","2.97","2.41","21,653","8,174",2
코스피200 P 202006 257.5,"3.34",0.65,"3.39","3.62","2.98","11,222","3,490",2
코스피200 P 202006 260.0,"4.09",0.74,"4.13","4.42","3.67","9,741","12,005",2
코스피200 P 202006 262.5,"5.02",0.83,"5.02","5.38","4.50","9,276","3,157",2
코스피200 P 202006 265.0,"6.16",0.93,"6.05","6.54","5.53","2,445","4,667",2
코스피200 P 202006 267.5,"7.45",0.87,"7.40","7.90","6.80","398","365",2
코스피200 P 202006 270.0,"9.00",0.99,"8.81","9.36","8.36","76","8,602",2
코스피200 P 202006 272.5,"10.65",1.05,"10.45","10.65","10.20","40","191",2
코스피200 P 202006 275.0,"12.40",1.50,"12.50","13.25","12.05","48","5,524",2
코스피200 P 202006 277.5,"14.85",0.90,"14.55","14.85","14.40","11","71",2
코스피200 P 202006 280.0,"16.95",1.25,"16.35","16.95","16.25","6","5,648",2
코스피200 P 202006 282.5,"19.20",1.10,"18.75","19.20","18.75","2","19",2
코스피200 P 202006 285.0,"22.60",0.00,"0.00","0.00","0.00","0","2,661",0
코스피200 P 202006 287.5,"24.95",0.00,"0.00","0.00","0.00","0","34",0
코스피200 P 202006 290.0,"26.60",0.80,"26.60","26.60","26.60","1","3,782",2
코스피200 P 202006 292.5,"30.00",0.00,"0.00","0.00","0.00","0","8",0
코스피200 P 202006 295.0,"32.25",0.00,"0.00","0.00","0.00","0","212",0
코스피200 P 202006 297.5,"34.70",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202006 300.0,"37.15",0.00,"0.00","0.00","0.00","0","4,387",0
코스피200 P 202006 302.5,"39.65",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202006 305.0,"42.10",0.00,"0.00","0.00","0.00","0","2",0
코스피200 P 202006 307.5,"44.60",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202006 310.0,"47.10",0.00,"0.00","0.00","0.00","0","4",0
코스피200 P 202006 312.5,"49.60",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202006 315.0,"52.10",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202006 317.5,"54.60",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202006 320.0,"57.10",0.00,"0.00","0.00","0.00","0","134",0
코스피200 P 202006 322.5,"59.60",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202006 325.0,"62.10",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202006 327.5,"64.60",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202006 330.0,"67.10",0.00,"0.00","0.00","0.00","0","401",0
코스피200 P 202006 332.5,"69.60",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202006 335.0,"72.05",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202006 337.5,"74.55",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202006 340.0,"77.05",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202006 342.5,"79.55",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202006 345.0,"82.05",0.00,"0.00","0.00","0.00","0","36",0
코스피200 P 202006 347.5,"84.55",0.00,"0.00","0.00","0.00","0","4",0
코스피200 P 202006 350.0,"87.05",0.00,"0.00","0.00","0.00","0","15",0
코스피200 P 202006 352.5,"89.55",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202006 355.0,"92.05",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202006 357.5,"94.55",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202006 360.0,"97.05",0.00,"0.00","0.00","0.00","0","75",0
코스피200 P 202006 362.5,"99.55",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202006 365.0,"102.05",0.00,"0.00","0.00","0.00","0","1,033",0
코스피200 P 202006 367.5,"104.55",0.00,"0.00","0.00","0.00","0","2",0
코스피200 P 202006 370.0,"107.05",0.00,"0.00","0.00","0.00","0","447",0
코스피200 P 202007 160.0,"0.06",0.01,"0.06","0.07","0.05","804","3,282",2
코스피200 P 202007 162.5,"0.06",0.03,"0.07","0.07","0.06","293","360",2
코스피200 P 202007 165.0,"0.07",0.03,"0.08","0.08","0.07","39","199",2
코스피200 P 202007 167.5,"0.08",0.02,"0.09","0.09","0.08","11","94",2
코스피200 P 202007 170.0,"0.09",0.03,"0.10","0.10","0.09","152","424",2
코스피200 P 202007 172.5,"0.10",0.03,"0.10","0.10","0.09","22","110",2
코스피200 P 202007 175.0,"0.10",0.04,"0.12","0.12","0.10","21","169",2
코스피200 P 202007 177.5,"0.12",0.06,"0.12","0.13","0.12","23","44",2
코스피200 P 202007 180.0,"0.13",0.04,"0.14","0.14","0.12","50","219",2
코스피200 P 202007 182.5,"0.15",0.04,"0.16","0.16","0.14","55","672",2
코스피200 P 202007 185.0,"0.17",0.03,"0.18","0.18","0.16","10","340",2
코스피200 P 202007 187.5,"0.18",0.05,"0.20","0.20","0.17","30","233",2
코스피200 P 202007 190.0,"0.20",0.05,"0.23","0.23","0.20","43","471",2
코스피200 P 202007 192.5,"0.23",0.05,"0.25","0.25","0.22","82","244",2
코스피200 P 202007 195.0,"0.26",0.05,"0.26","0.27","0.26","30","230",2
코스피200 P 202007 197.5,"0.30",0.05,"0.30","0.30","0.27","19","142",2
코스피200 P 202007 200.0,"0.32",0.06,"0.33","0.34","0.30","278","566",2
코스피200 P 202007 202.5,"0.36",0.07,"0.37","0.37","0.35","91","306",2
코스피200 P 202007 205.0,"0.41",0.07,"0.43","0.43","0.38","208","510",2
코스피200 P 202007 207.5,"0.44",0.09,"0.46","0.47","0.42","287","564",2
코스피200 P 202007 210.0,"0.50",0.10,"0.52","0.54","0.47","325","716",2
코스피200 P 202007 212.5,"0.57",0.10,"0.55","0.61","0.53","426","390",2
코스피200 P 202007 215.0,"0.64",0.12,"0.63","0.69","0.60","331","624",2
코스피200 P 202007 217.5,"0.71",0.14,"0.69","0.77","0.67","222","580",2
코스피200 P 202007 220.0,"0.80",0.14,"0.84","0.86","0.76","231","630",2
코스피200 P 202007 222.5,"0.89",0.19,"0.96","0.96","0.86","46","357",2
코스피200 P 202007 225.0,"1.02",0.18,"1.10","1.11","0.97","155","498",2
코스피200 P 202007 227.5,"1.18",0.20,"1.24","1.27","1.10","107","751",2
코스피200 P 202007 230.0,"1.34",0.20,"1.42","1.42","1.25","268","4,661",2
코스피200 P 202007 232.5,"1.51",0.25,"1.55","1.63","1.42","433","667",2
코스피200 P 202007 235.0,"1.72",0.29,"1.79","1.84","1.62","143","252",2
코스피200 P 202007 237.5,"1.93",0.36,"2.02","2.11","1.93","24","101",2
코스피200 P 202007 240.0,"2.25",0.32,"2.32","2.44","2.14","151","718",2
