종목,현재가,대비,시가,고가,저가,거래량,미결제,등락
코스피200 C 202006 160.0,"106.10",0.00,"0.00","0.00","0.00","0","815",0
코스피200 C 202006 162.5,"105.85",0.00,"0.00","0.00","0.00","0","1",0
코스피200 C 202006 165.0,"103.35",0.00,"0.00","0.00","0.00","0","1",0
코스피200 C 202006 167.5,"100.85",0.00,"0.00","0.00","0.00","0","1",0
코스피200 C 202006 170.0,"98.35",0.00,"0.00","0.00","0.00","0","2",0
코스피200 C 202006 172.5,"95.85",0.00,"0.00","0.00","0.00","0","1",0
코스피200 C 202006 175.0,"93.35",0.00,"0.00","0.00","0.00","0","153",0
코스피200 C 202006 177.5,"90.85",0.00,"0.00","0.00","0.00","0","1",0
코스피200 C 202006 180.0,"88.35",0.00,"0.00","0.00","0.00","0","194",0
코스피200 C 202006 182.5,"85.85",0.00,"0.00","0.00","0.00","0","1",0
코스피200 C 202006 185.0,"83.35",0.00,"0.00","0.00","0.00","0","1",0
코스피200 C 202006 187.5,"80.85",0.00,"0.00","0.00","0.00","0","1",0
코스피200 C 202006 190.0,"78.35",0.00,"0.00","0.00","0.00","0","1,613",0
코스피200 C 202006 192.5,"75.85",0.00,"0.00","0.00","0.00","0","1",0
코스피200 C 202006 195.0,"73.35",0.00,"0.00","0.00","0.00","0","3",0
코스피200 C 202006 197.5,"70.85",0.00,"0.00","0.00","0.00","0","3",0
코스피200 C 202006 200.0,"68.35",0.00,"0.00","0.00","0.00","0","26",0
코스피200 C 202006 202.5,"65.85",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202006 205.0,"63.35",0.00,"0.00","0.00","0.00","0","16",0
코스피200 C 202006 207.5,"60.85",0.00,"0.00","0.00","0.00","0","14",0
코스피200 C 202006 210.0,"58.35",0.00,"0.00","0.00","0.00","0","57",0
코스피200 C 202006 212.5,"55.85",0.00,"0.00","0.00","0.00","0","11",0
코스피200 C 202006 215.0,"53.35",0.00,"0.00","0.00","0.00","0","12",0
코스피200 C 202006 217.5,"50.85",0.00,"0.00","0.00","0.00","0","3",0
코스피200 C 202006 220.0,"46.55",0.00,"0.00","0.00","0.00","0","2,897",0
코스피200 C 202006 222.5,"45.85",0.00,"0.00","0.00","0.00","0","11",0
코스피200 C 202006 225.0,"43.35",0.00,"0.00","0.00","0.00","0","201",0
코스피200 C 202006 227.5,"40.15",0.30,"40.15","40.15","40.15","1","313",1
코스피200 C 202006 230.0,"36.15",0.85,"36.15","36.15","36.15","1","5,580",2
코스피200 C 202006 232.5,"35.00",2.40,"35.00","35.00","35.00","1","28",2
코스피200 C 202006 235.0,"32.15",0.85,"32.75","33.10","32.15","14","3,723",1
