종목,현재가,대비,시가,고가,저가,거래량,미결제,등락
코스피200 P 202006 160.0,"0.01",0.00,"0.01","0.01","0.01","4","76,535",3
코스피200 P 202006 162.5,"0.01",0.00,"0.01","0.01","0.01","4","18,743",3
코스피200 P 202006 165.0,"0.01",0.00,"0.01","0.01","0.01","4","27,157",3
코스피200 P 202006 167.5,"0.01",0.00,"0.01","0.02","0.01","6,816","30,174",3
코스피200 P 202006 170.0,"0.01",0.00,"0.01","0.02","0.01","9,334","28,792",3
코스피200 P 202006 172.5,"0.01",0.00,"0.01","0.01","0.01","9,478","33,967",3
코스피200 P 202006 175.0,"0.01",0.00,"0.01","0.02","0.01","201","8,652",3
코스피200 P 202006 177.5,"0.02",0.00,"0.02","0.02","0.01","2,048","10,646",3
코스피200 P 202006 180.0,"0.01",0.01,"0.02","0.03","0.01","980","8,906",5
코스피200 P 202006 182.5,"0.02",0.01,"0.02","0.03","0.02","1,310","10,617",2
코스피200 P 202006 185.0,"0.03",0.00,"0.03","0.04","0.03","1,973","4,612",3
코스피200 P 202006 187.5,"0.03",0.00,"0.03","0.04","0.03","2,410","6,689",3
코스피200 P 202006 190.0,"0.04",0.01,"0.04","0.05","0.04","3,914","22,115",1
코스피200 P 202006 192.5,"0.04",0.00,"0.04","0.06","0.04","4,779","11,449",3
코스피200 P 202006 195.0,"0.05",0.00,"0.05","0.08","0.05","2,069","13,944",3
코스피200 P 202006 197.5,"0.05",0.01,"0.07","0.08","0.05","803","7,862",2
코스피200 P 202006 200.0,"0.06",0.01,"0.07","0.10","0.06","8,393","28,714",2
코스피200 P 202006 202.5,"0.07",0.00,"0.08","0.11","0.07","2,825","10,274",3
코스피200 P 202006 205.0,"0.08",0.00,"0.09","0.13","0.08","3,140","18,543",3
코스피200 P 202006 207.5,"0.09",0.00,"0.11","0.15","0.09","2,732","6,911",3
코스피200 P 202006 210.0,"0.10",0.01,"0.12","0.17","0.10","4,938","19,766",2
코스피200 P 202006 212.5,"0.12",0.00,"0.14","0.19","0.11","4,349","12,998",3
코스피200 P 202006 215.0,"0.14",0.01,"0.15","0.23","0.13","8,721","12,307",2
코스피200 P 202006 217.5,"0.15",0.02,"0.18","0.25","0.15","7,150","5,305",2
코스피200 P 202006 220.0,"0.17",0.02,"0.21","0.29","0.16","7,911","28,795",2
코스피200 P 202006 222.5,"0.20",0.02,"0.23","0.32","0.18","6,499","8,261",2
코스피200 P 202006 225.0,"0.22",0.01,"0.26","0.36","0.21","13,374","14,594",2
코스피200 P 202006 227.5,"0.25",0.02,"0.30","0.41","0.23","12,580","13,012",2
코스피200 P 202006 230.0,"0.29",0.01,"0.33","0.47","0.26","27,352","29,394",2
코스피200 P 202006 232.5,"0.34",0.00,"0.38","0.53","0.30","16,138","13,387",3
코스피200 P 202006 235.0,"0.40",0.01,"0.44","0.61","0.35","26,458","17,411",2
코스피200 P 202006 237.5,"0.45",0.02,"0.51","0.71","0.40","21,815","11,142",2
